Week,Trimester,Baby_Development,Mother_Changes,Calories,Protein,Iron,Calcium,Folate,Water_Intake,Exercise,Foods_To_Eat,Foods_To_Avoid,Medical_Checkups,Ultrasound,Warning_Signs,Sleep_Recommendation
1,First,Dating from last menstrual period.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
2,First,Ovulation and fertilization may occur.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
3,First,Fertilized egg divides and travels to uterus.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
4,First,Implantation and early placenta begin.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
5,First,Neural tube and early heart develop.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
6,First,Early heartbeat activity and limb buds may appear.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
7,First,"Brain, face, arms and legs develop.","nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
8,First,Major organs continue forming.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
9,First,Embryo transitions toward fetal stage.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
10,First,Major organs are formed and mature.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
11,First,External genitalia and bones develop.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
12,First,Reflexes begin and placenta supports hormones.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
13,First,Growth becomes more proportional.,"nausea, fatigue, breast tenderness and food aversions may occur",No extra calories usually needed; prioritize nutrient density,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","small frequent meals, folate-rich greens, lentils, citrus, curd, whole grains","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","confirmation, dating and baseline antenatal labs",dating/NT scan if scheduled,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
14,Second,Facial movements increase.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
15,Second,Skeleton ossification begins.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
16,Second,Limbs coordinate more.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
17,Second,Fat stores begin.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",only if clinically indicated,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
18,Second,Ears position and movement may be felt soon.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
19,Second,Vernix starts coating skin.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
20,Second,Halfway point; swallowing increases.,energy may improve; belly grows and fetal movement may begin,About 340 extra kcal/day if advised,About 60-75 g/day,27 mg/day total intake; supplement if prescribed,1000 mg/day,600 mcg DFE/day; supplement as prescribed,2.3-3.0 L fluids/day,"Walking, stretching and prenatal exercise if approved","dal, dairy, whole grains, vegetables, fruits, nuts, eggs or low-mercury fish","alcohol, unpasteurized dairy, raw sprouts, undercooked eggs/meat, high-mercury fish","routine BP, weight, urine and anemia review; glucose screen near 24-28 weeks",anomaly scan usually 18-22 weeks,"Bleeding, severe pain, fever, persistent vomiting, severe headache, vision changes, reduced fetal movement, fluid leak, chest pain or breathlessness",Aim 7-9 hours; left-side sleeping often helps after mid-pregnancy
